KodePelanggan,NamaPelanggan,INV,KodeBarang,NamaBarang,Tanggal,Termin,Kuantitas,Satuan,Harga,Penjualan,KategoriPelanggan,Lokasi
C005,CV Berkah Abadi,INV20210321834,B003,Mouse Logitech,3/21/2021,N30,11,Unit,1005278,11058058,Distributor,Semarang
C005,CV Berkah Abadi,INV20210321861,B002,Printer Epson,3/21/2021,N7,12,Unit,661565,7938780,Retail,Semarang
C005,CV Berkah Abadi,INV20210321810,B003,Mouse Logitech,3/21/2021,N30,10,Pcs,1100025,11000250,Distributor,Semarang
C003,UD Sentosa,INV20210321445,B001,Laptop Lenovo,3/21/2021,N15,13,Unit,384214,4994782,Grosir,Surabaya
C004,PT Makmur Bersama,INV20210322550,B002,Printer Epson,3/22/2021,N7,10,Unit,885568,8855680,Distributor,Medan
C002,CV Maju Terus,INV20210323404,B004,Keyboard Mechanical,3/23/2021,N30,12,Unit,977281,11727372,Grosir,Bandung
C001,PT Sinar Jaya,INV20210323946,B001,Laptop Lenovo,3/23/2021,N7,17,Pcs,1467785,24952345,Grosir,Jakarta
C003,UD Sentosa,INV20210323271,B005,Monitor Samsung,3/23/2021,N7,12,Pcs,1208257,14499084,Grosir,Surabaya
C001,PT Sinar Jaya,INV20210323220,B005,Monitor Samsung,3/23/2021,N15,19,Unit,181643,3451217,Grosir,Jakarta
C001,PT Sinar Jaya,INV20210324550,B001,Laptop Lenovo,3/24/2021,N7,12,Unit,290839,3490068,Grosir,Jakarta
C002,CV Maju Terus,INV20210325850,B001,Laptop Lenovo,3/25/2021,N15,9,Unit,1740052,15660468,Distributor,Bandung
C003,UD Sentosa,INV20210325743,B002,Printer Epson,3/25/2021,N15,16,Unit,814598,13033568,Grosir,Surabaya
C004,PT Makmur Bersama,INV20210326430,B003,Mouse Logitech,3/26/2021,N30,14,Unit,1084636,15184904,Retail,Medan
C002,CV Maju Terus,INV20210326724,B004,Keyboard Mechanical,3/26/2021,N7,5,Pcs,1975534,9877670,Retail,Bandung
C005,CV Berkah Abadi,INV20210326778,B001,Laptop Lenovo,3/26/2021,N30,16,Pcs,185091,2961456,Grosir,Semarang
C002,CV Maju Terus,INV20210327502,B001,Laptop Lenovo,3/27/2021,N30,8,Pcs,1710248,13681984,Retail,Bandung
C001,PT Sinar Jaya,INV20210328867,B005,Monitor Samsung,3/28/2021,N30,18,Unit,890867,16035606,Retail,Jakarta
C002,CV Maju Terus,INV20210328281,B004,Keyboard Mechanical,3/28/2021,N30,6,Pcs,504746,3028476,Grosir,Bandung
C003,UD Sentosa,INV20210328784,B004,Keyboard Mechanical,3/28/2021,N30,6,Pcs,1862093,11172558,Distributor,Surabaya
C003,UD Sentosa,INV20210328370,B005,Monitor Samsung,3/28/2021,N15,10,Pcs,658408,6584080,Grosir,Surabaya
C003,UD Sentosa,INV20210328148,B005,Monitor Samsung,3/28/2021,N30,12,Unit,993724,11924688,Distributor,Surabaya
C002,CV Maju Terus,INV20210329999,B005,Monitor Samsung,3/29/2021,N15,15,Pcs,1506301,22594515,Distributor,Bandung
C004,PT Makmur Bersama,INV20210329555,B005,Monitor Samsung,3/29/2021,N15,11,Pcs,918602,10104622,Distributor,Medan
C002,CV Maju Terus,INV20210329856,B001,Laptop Lenovo,3/29/2021,N15,7,Unit,1409860,9869020,Grosir,Bandung
C003,UD Sentosa,INV20210329920,B004,Keyboard Mechanical,3/29/2021,N30,14,Pcs,1714491,24002874,Retail,Surabaya
C003,UD Sentosa,INV20210330446,B003,Mouse Logitech,3/30/2021,N30,3,Unit,1420250,4260750,Grosir,Surabaya
C002,CV Maju Terus,INV20210330305,B003,Mouse Logitech,3/30/2021,N30,9,Pcs,513373,4620357,Grosir,Bandung
C003,UD Sentosa,INV20210330470,B005,Monitor Samsung,3/30/2021,N15,16,Pcs,1053284,16852544,Grosir,Surabaya
C003,UD Sentosa,INV20210330420,B001,Laptop Lenovo,3/30/2021,N7,14,Unit,428718,6002052,Retail,Surabaya
C003,UD Sentosa,INV20210331837,B003,Mouse Logitech,3/31/2021,N7,7,Unit,1784984,12494888,Distributor,Surabaya
C001,PT Sinar Jaya,INV20210331249,B005,Monitor Samsung,3/31/2021,N15,18,Pcs,869738,15655284,Retail,Jakarta
C005,CV Berkah Abadi,INV20210331528,B004,Keyboard Mechanical,3/31/2021,N7,5,Unit,1857057,9285285,Distributor,Semarang
C004,PT Makmur Bersama,INV20210331418,B003,Mouse Logitech,3/31/2021,N15,4,Pcs,1454404,5817616,Grosir,Medan
C001,PT Sinar Jaya,INV20210401397,B005,Monitor Samsung,4/1/2021,N30,9,Unit,558275,5024475,Retail,Jakarta
C001,PT Sinar Jaya,INV20210401455,B001,Laptop Lenovo,4/1/2021,N7,5,Unit,1845063,9225315,Retail,Jakarta
C004,PT Makmur Bersama,INV20210402533,B003,Mouse Logitech,4/2/2021,N15,9,Unit,1454893,13094037,Grosir,Medan
C001,PT Sinar Jaya,INV20210402353,B002,Printer Epson,4/2/2021,N15,8,Pcs,1480018,11840144,Distributor,Jakarta
C001,PT Sinar Jaya,INV20210403379,B001,Laptop Lenovo,4/3/2021,N15,18,Unit,736030,13248540,Retail,Jakarta
C002,CV Maju Terus,INV20210404471,B002,Printer Epson,4/4/2021,N7,3,Unit,1470117,4410351,Grosir,Bandung
C002,CV Maju Terus,INV20210404209,B001,Laptop Lenovo,4/4/2021,N30,8,Pcs,135192,1081536,Grosir,Bandung
C001,PT Sinar Jaya,INV20210405427,B002,Printer Epson,4/5/2021,N15,2,Pcs,1568087,3136174,Distributor,Jakarta
C004,PT Makmur Bersama,INV20210405531,B001,Laptop Lenovo,4/5/2021,N15,14,Unit,1260524,17647336,Distributor,Medan
C003,UD Sentosa,INV20210406545,B001,Laptop Lenovo,4/6/2021,N15,10,Unit,1201307,12013070,Grosir,Surabaya
C002,CV Maju Terus,INV20210406860,B003,Mouse Logitech,4/6/2021,N7,14,Pcs,947313,13262382,Retail,Bandung
C005,CV Berkah Abadi,INV20210406845,B003,Mouse Logitech,4/6/2021,N15,6,Pcs,627427,3764562,Distributor,Semarang
C005,CV Berkah Abadi,INV20210406601,B005,Monitor Samsung,4/6/2021,N30,1,Pcs,185540,185540,Retail,Semarang
C001,PT Sinar Jaya,INV20210408550,B004,Keyboard Mechanical,4/8/2021,N30,15,Pcs,1547127,23206905,Grosir,Jakarta
C001,PT Sinar Jaya,INV20210408509,B003,Mouse Logitech,4/8/2021,N7,18,Pcs,607773,10939914,Distributor,Jakarta
C004,PT Makmur Bersama,INV20210409961,B004,Keyboard Mechanical,4/9/2021,N7,15,Unit,1631593,24473895,Retail,Medan
C003,UD Sentosa,INV20210409402,B001,Laptop Lenovo,4/9/2021,N30,11,Pcs,906240,9968640,Retail,Surabaya
C002,CV Maju Terus,INV20210409297,B005,Monitor Samsung,4/9/2021,N7,20,Unit,1536565,30731300,Distributor,Bandung
C005,CV Berkah Abadi,INV20210409447,B003,Mouse Logitech,4/9/2021,N15,16,Pcs,1384562,22152992,Grosir,Semarang
C005,CV Berkah Abadi,INV20210410992,B005,Monitor Samsung,4/10/2021,N30,8,Unit,1815797,14526376,Distributor,Semarang
C002,CV Maju Terus,INV20210410983,B003,Mouse Logitech,4/10/2021,N15,12,Unit,414809,4977708,Retail,Bandung
C005,CV Berkah Abadi,INV20210410592,B005,Monitor Samsung,4/10/2021,N30,11,Unit,776178,8537958,Grosir,Semarang
C002,CV Maju Terus,INV20210410426,B005,Monitor Samsung,4/10/2021,N30,10,Pcs,1262964,12629640,Grosir,Bandung
C003,UD Sentosa,INV20210411896,B002,Printer Epson,4/11/2021,N30,19,Pcs,1631836,31004884,Grosir,Surabaya
C003,UD Sentosa,INV20210411452,B003,Mouse Logitech,4/11/2021,N7,17,Unit,1596571,27141707,Retail,Surabaya
C003,UD Sentosa,INV20210412537,B003,Mouse Logitech,4/12/2021,N7,9,Unit,1323384,11910456,Distributor,Surabaya
C005,CV Berkah Abadi,INV20210412918,B003,Mouse Logitech,4/12/2021,N30,8,Pcs,1975933,15807464,Distributor,Semarang
C003,UD Sentosa,INV20210412664,B001,Laptop Lenovo,4/12/2021,N15,14,Pcs,494262,6919668,Retail,Surabaya
C005,CV Berkah Abadi,INV20210412605,B003,Mouse Logitech,4/12/2021,N15,14,Unit,1150923,16112922,Distributor,Semarang
C001,PT Sinar Jaya,INV20210412853,B002,Printer Epson,4/12/2021,N30,13,Unit,1613600,20976800,Distributor,Jakarta
C001,PT Sinar Jaya,INV20210413574,B002,Printer Epson,4/13/2021,N15,4,Pcs,984732,3938928,Distributor,Jakarta
C002,CV Maju Terus,INV20210413496,B005,Monitor Samsung,4/13/2021,N30,12,Unit,1501357,18016284,Distributor,Bandung
C004,PT Makmur Bersama,INV20210414586,B005,Monitor Samsung,4/14/2021,N15,8,Pcs,128192,1025536,Grosir,Medan
C003,UD Sentosa,INV20210414792,B005,Monitor Samsung,4/14/2021,N7,4,Unit,1259680,5038720,Retail,Surabaya
C004,PT Makmur Bersama,INV20210414479,B001,Laptop Lenovo,4/14/2021,N15,19,Unit,1561892,29675948,Retail,Medan
C004,PT Makmur Bersama,INV20210414118,B002,Printer Epson,4/14/2021,N7,9,Pcs,555603,5000427,Retail,Medan
C004,PT Makmur Bersama,INV20210415226,B004,Keyboard Mechanical,4/15/2021,N30,14,Unit,1544127,21617778,Retail,Medan
C002,CV Maju Terus,INV20210415240,B002,Printer Epson,4/15/2021,N7,17,Unit,1359634,23113778,Retail,Bandung
C005,CV Berkah Abadi,INV20210415795,B003,Mouse Logitech,4/15/2021,N7,2,Unit,811286,1622572,Retail,Semarang
C005,CV Berkah Abadi,INV20210416979,B003,Mouse Logitech,4/16/2021,N15,1,Pcs,523539,523539,Grosir,Semarang
C002,CV Maju Terus,INV20210416947,B005,Monitor Samsung,4/16/2021,N30,13,Unit,1138144,14795872,Retail,Bandung
C004,PT Makmur Bersama,INV20210416606,B005,Monitor Samsung,4/16/2021,N15,14,Unit,1138314,15936396,Retail,Medan
C005,CV Berkah Abadi,INV20210416147,B002,Printer Epson,4/16/2021,N7,6,Unit,1578491,9470946,Retail,Semarang
C003,UD Sentosa,INV20210417593,B005,Monitor Samsung,4/17/2021,N30,12,Pcs,993970,11927640,Grosir,Surabaya
C005,CV Berkah Abadi,INV20210418227,B004,Keyboard Mechanical,4/18/2021,N15,10,Pcs,782197,7821970,Retail,Semarang
C004,PT Makmur Bersama,INV20210418993,B005,Monitor Samsung,4/18/2021,N7,2,Pcs,322458,644916,Retail,Medan
C001,PT Sinar Jaya,INV20210419638,B003,Mouse Logitech,4/19/2021,N30,10,Pcs,1518488,15184880,Grosir,Jakarta
C002,CV Maju Terus,INV20210419983,B001,Laptop Lenovo,4/19/2021,N7,7,Unit,1900730,13305110,Grosir,Bandung
C001,PT Sinar Jaya,INV20210419370,B005,Monitor Samsung,4/19/2021,N30,8,Pcs,1087587,8700696,Distributor,Jakarta
C003,UD Sentosa,INV20210420647,B003,Mouse Logitech,4/20/2021,N15,4,Pcs,367649,1470596,Distributor,Surabaya
C003,UD Sentosa,INV20210420889,B005,Monitor Samsung,4/20/2021,N15,2,Pcs,160453,320906,Grosir,Surabaya
C005,CV Berkah Abadi,INV20210420156,B003,Mouse Logitech,4/20/2021,N30,1,Unit,1803549,1803549,Distributor,Semarang
C001,PT Sinar Jaya,INV20210421431,B005,Monitor Samsung,4/21/2021,N15,9,Pcs,655335,5898015,Distributor,Jakarta
C004,PT Makmur Bersama,INV20210421336,B002,Printer Epson,4/21/2021,N7,4,Pcs,1531761,6127044,Distributor,Medan
C003,UD Sentosa,INV20210422519,B002,Printer Epson,4/22/2021,N30,9,Pcs,304540,2740860,Grosir,Surabaya
C001,PT Sinar Jaya,INV20210422680,B002,Printer Epson,4/22/2021,N30,11,Unit,471347,5184817,Grosir,Jakarta
C004,PT Makmur Bersama,INV20210422651,B002,Printer Epson,4/22/2021,N30,9,Unit,839861,7558749,Grosir,Medan
C003,UD Sentosa,INV20210422185,B003,Mouse Logitech,4/22/2021,N30,16,Unit,1824044,29184704,Retail,Surabaya
C001,PT Sinar Jaya,INV20210422980,B005,Monitor Samsung,4/22/2021,N30,12,Pcs,639177,7670124,Distributor,Jakarta
C005,CV Berkah Abadi,INV20210422147,B003,Mouse Logitech,4/22/2021,N7,2,Unit,299027,598054,Retail,Semarang
C002,CV Maju Terus,INV20210422671,B005,Monitor Samsung,4/22/2021,N7,20,Pcs,1842985,36859700,Retail,Bandung
C002,CV Maju Terus,INV20210423781,B004,Keyboard Mechanical,4/23/2021,N15,7,Unit,581231,4068617,Distributor,Bandung
C005,CV Berkah Abadi,INV20210424330,B005,Monitor Samsung,4/24/2021,N30,5,Pcs,343424,1717120,Retail,Semarang
C003,UD Sentosa,INV20210424249,B003,Mouse Logitech,4/24/2021,N7,12,Unit,829687,9956244,Retail,Surabaya
C003,UD Sentosa,INV20210424346,B004,Keyboard Mechanical,4/24/2021,N30,3,Unit,513014,1539042,Retail,Surabaya
C002,CV Maju Terus,INV20210425875,B003,Mouse Logitech,4/25/2021,N15,4,Unit,1035055,4140220,Grosir,Bandung
C001,PT Sinar Jaya,INV20210425359,B003,Mouse Logitech,4/25/2021,N7,15,Unit,350853,5262795,Retail,Jakarta
C004,PT Makmur Bersama,INV20210426914,B002,Printer Epson,4/26/2021,N7,4,Unit,1836476,7345904,Retail,Medan
C005,CV Berkah Abadi,INV20210426983,B005,Monitor Samsung,4/26/2021,N15,6,Pcs,419282,2515692,Retail,Semarang
C004,PT Makmur Bersama,INV20210426726,B005,Monitor Samsung,4/26/2021,N30,14,Pcs,1814247,25399458,Retail,Medan
C005,CV Berkah Abadi,INV20210426140,B001,Laptop Lenovo,4/26/2021,N15,3,Pcs,176718,530154,Retail,Semarang
C002,CV Maju Terus,INV20210426329,B002,Printer Epson,4/26/2021,N7,10,Unit,993452,9934520,Retail,Bandung
C004,PT Makmur Bersama,INV20210427184,B004,Keyboard Mechanical,4/27/2021,N30,15,Unit,1898609,28479135,Grosir,Medan
C001,PT Sinar Jaya,INV20210427748,B004,Keyboard Mechanical,4/27/2021,N30,18,Unit,1431650,25769700,Retail,Jakarta
C004,PT Makmur Bersama,INV20210427206,B002,Printer Epson,4/27/2021,N30,3,Unit,1874180,5622540,Retail,Medan
C001,PT Sinar Jaya,INV20210427698,B001,Laptop Lenovo,4/27/2021,N30,14,Unit,767331,10742634,Distributor,Jakarta
C003,UD Sentosa,INV20210428367,B003,Mouse Logitech,4/28/2021,N30,20,Unit,1845222,36904440,Distributor,Surabaya
C003,UD Sentosa,INV20210428860,B001,Laptop Lenovo,4/28/2021,N15,12,Unit,103519,1242228,Distributor,Surabaya
C005,CV Berkah Abadi,INV20210428401,B005,Monitor Samsung,4/28/2021,N30,4,Pcs,321615,1286460,Retail,Semarang
C005,CV Berkah Abadi,INV20210429374,B005,Monitor Samsung,4/29/2021,N15,9,Pcs,1120463,10084167,Distributor,Semarang
C005,CV Berkah Abadi,INV20210429294,B001,Laptop Lenovo,4/29/2021,N7,2,Unit,1798297,3596594,Retail,Semarang
C001,PT Sinar Jaya,INV20210501713,B001,Laptop Lenovo,5/1/2021,N30,15,Unit,1041510,15622650,Retail,Jakarta
C005,CV Berkah Abadi,INV20210502846,B004,Keyboard Mechanical,5/2/2021,N7,3,Pcs,1533481,4600443,Grosir,Semarang
C001,PT Sinar Jaya,INV20210502707,B002,Printer Epson,5/2/2021,N30,1,Pcs,1204578,1204578,Grosir,Jakarta
C003,UD Sentosa,INV20210502160,B005,Monitor Samsung,5/2/2021,N7,5,Pcs,153340,766700,Retail,Surabaya
C005,CV Berkah Abadi,INV20210502779,B005,Monitor Samsung,5/2/2021,N15,19,Unit,1646774,31288706,Grosir,Semarang
C002,CV Maju Terus,INV20210502610,B005,Monitor Samsung,5/2/2021,N7,6,Unit,1928325,11569950,Distributor,Bandung
C005,CV Berkah Abadi,INV20210503591,B002,Printer Epson,5/3/2021,N15,9,Unit,1855056,16695504,Retail,Semarang
C001,PT Sinar Jaya,INV20210503796,B002,Printer Epson,5/3/2021,N30,4,Pcs,248723,994892,Grosir,Jakarta
C004,PT Makmur Bersama,INV20210503214,B001,Laptop Lenovo,5/3/2021,N15,14,Unit,564257,7899598,Grosir,Medan
C004,PT Makmur Bersama,INV20210504616,B001,Laptop Lenovo,5/4/2021,N30,4,Unit,1811206,7244824,Retail,Medan
C001,PT Sinar Jaya,INV20210504499,B004,Keyboard Mechanical,5/4/2021,N7,2,Pcs,570562,1141124,Distributor,Jakarta
C001,PT Sinar Jaya,INV20210505735,B005,Monitor Samsung,5/5/2021,N30,16,Pcs,1270303,20324848,Retail,Jakarta
C002,CV Maju Terus,INV20210505534,B004,Keyboard Mechanical,5/5/2021,N30,3,Pcs,1323600,3970800,Grosir,Bandung
C001,PT Sinar Jaya,INV20210505366,B004,Keyboard Mechanical,5/5/2021,N7,19,Unit,969350,18417650,Grosir,Jakarta
C005,CV Berkah Abadi,INV20210505576,B005,Monitor Samsung,5/5/2021,N7,15,Unit,1463718,21955770,Retail,Semarang
C003,UD Sentosa,INV20210506576,B003,Mouse Logitech,5/6/2021,N7,2,Pcs,952354,1904708,Distributor,Surabaya
C003,UD Sentosa,INV20210507562,B004,Keyboard Mechanical,5/7/2021,N30,18,Unit,1005325,18095850,Distributor,Surabaya
C002,CV Maju Terus,INV20210508799,B001,Laptop Lenovo,5/8/2021,N30,15,Pcs,1513906,22708590,Grosir,Bandung
C005,CV Berkah Abadi,INV20210508982,B003,Mouse Logitech,5/8/2021,N7,6,Unit,1265127,7590762,Retail,Semarang
C005,CV Berkah Abadi,INV20210509869,B004,Keyboard Mechanical,5/9/2021,N15,18,Unit,213318,3839724,Distributor,Semarang
C004,PT Makmur Bersama,INV20210509859,B005,Monitor Samsung,5/9/2021,N30,20,Pcs,1640771,32815420,Grosir,Medan
C003,UD Sentosa,INV20210509642,B001,Laptop Lenovo,5/9/2021,N7,1,Pcs,1418022,1418022,Distributor,Surabaya
C005,CV Berkah Abadi,INV20210509818,B002,Printer Epson,5/9/2021,N15,7,Pcs,1640722,11485054,Retail,Semarang
C001,PT Sinar Jaya,INV20210509109,B005,Monitor Samsung,5/9/2021,N15,1,Unit,364920,364920,Grosir,Jakarta
C004,PT Makmur Bersama,INV20210510658,B001,Laptop Lenovo,5/10/2021,N30,6,Unit,974749,5848494,Retail,Medan
C004,PT Makmur Bersama,INV20210510182,B005,Monitor Samsung,5/10/2021,N7,3,Unit,1272878,3818634,Retail,Medan
C002,CV Maju Terus,INV20210511891,B004,Keyboard Mechanical,5/11/2021,N30,14,Unit,1426801,19975214,Retail,Bandung
C002,CV Maju Terus,INV20210511758,B003,Mouse Logitech,5/11/2021,N7,14,Pcs,736359,10309026,Distributor,Bandung
C004,PT Makmur Bersama,INV20210511508,B001,Laptop Lenovo,5/11/2021,N7,17,Unit,1319891,22438147,Distributor,Medan
C003,UD Sentosa,INV20210511561,B004,Keyboard Mechanical,5/11/2021,N7,20,Unit,1414368,28287360,Distributor,Surabaya
C004,PT Makmur Bersama,INV20210513720,B005,Monitor Samsung,5/13/2021,N30,16,Unit,876118,14017888,Grosir,Medan
C002,CV Maju Terus,INV20210513469,B002,Printer Epson,5/13/2021,N30,8,Unit,1744451,13955608,Retail,Bandung
C001,PT Sinar Jaya,INV20210514410,B003,Mouse Logitech,5/14/2021,N15,20,Unit,879838,17596760,Retail,Jakarta
C004,PT Makmur Bersama,INV20210514455,B002,Printer Epson,5/14/2021,N7,18,Pcs,358016,6444288,Distributor,Medan
C003,UD Sentosa,INV20210515447,B001,Laptop Lenovo,5/15/2021,N7,2,Unit,1965561,3931122,Grosir,Surabaya
C001,PT Sinar Jaya,INV20210515766,B002,Printer Epson,5/15/2021,N30,17,Pcs,665475,11313075,Grosir,Jakarta
C002,CV Maju Terus,INV20210515842,B003,Mouse Logitech,5/15/2021,N15,1,Unit,1930236,1930236,Retail,Bandung
C004,PT Makmur Bersama,INV20210515990,B004,Keyboard Mechanical,5/15/2021,N7,15,Pcs,1058870,15883050,Grosir,Medan
C004,PT Makmur Bersama,INV20210515806,B004,Keyboard Mechanical,5/15/2021,N15,14,Pcs,1002024,14028336,Retail,Medan
C005,CV Berkah Abadi,INV20210515134,B001,Laptop Lenovo,5/15/2021,N7,14,Unit,1371497,19200958,Grosir,Semarang
C001,PT Sinar Jaya,INV20210516900,B003,Mouse Logitech,5/16/2021,N15,2,Unit,1557332,3114664,Retail,Jakarta
C002,CV Maju Terus,INV20210516908,B002,Printer Epson,5/16/2021,N7,1,Pcs,822382,822382,Distributor,Bandung
C001,PT Sinar Jaya,INV20210516687,B002,Printer Epson,5/16/2021,N30,13,Unit,504867,6563271,Distributor,Jakarta
C003,UD Sentosa,INV20210516824,B002,Printer Epson,5/16/2021,N15,9,Unit,1111457,10003113,Distributor,Surabaya
C003,UD Sentosa,INV20210517776,B002,Printer Epson,5/17/2021,N30,11,Pcs,568053,6248583,Retail,Surabaya
C003,UD Sentosa,INV20210517115,B005,Monitor Samsung,5/17/2021,N7,6,Unit,346626,2079756,Distributor,Surabaya
C001,PT Sinar Jaya,INV20210518377,B003,Mouse Logitech,5/18/2021,N7,7,Pcs,283394,1983758,Grosir,Jakarta
C002,CV Maju Terus,INV20210518515,B005,Monitor Samsung,5/18/2021,N15,15,Unit,1279094,19186410,Distributor,Bandung
C002,CV Maju Terus,INV20210518892,B004,Keyboard Mechanical,5/18/2021,N7,18,Pcs,509695,9174510,Retail,Bandung
C004,PT Makmur Bersama,INV20210518823,B001,Laptop Lenovo,5/18/2021,N15,8,Unit,230915,1847320,Distributor,Medan
C002,CV Maju Terus,INV20210518729,B004,Keyboard Mechanical,5/18/2021,N7,7,Pcs,988201,6917407,Distributor,Bandung
C002,CV Maju Terus,INV20210518792,B003,Mouse Logitech,5/18/2021,N15,4,Unit,888792,3555168,Retail,Bandung
C001,PT Sinar Jaya,INV20210519268,B002,Printer Epson,5/19/2021,N7,16,Unit,1952828,31245248,Distributor,Jakarta
C002,CV Maju Terus,INV20210519707,B005,Monitor Samsung,5/19/2021,N30,17,Pcs,1643406,27937902,Grosir,Bandung
C004,PT Makmur Bersama,INV20210520141,B002,Printer Epson,5/20/2021,N7,16,Unit,1287911,20606576,Distributor,Medan
C004,PT Makmur Bersama,INV20210520166,B002,Printer Epson,5/20/2021,N15,14,Pcs,1719122,24067708,Distributor,Medan
C005,CV Berkah Abadi,INV20210520985,B003,Mouse Logitech,5/20/2021,N7,15,Pcs,1664596,24968940,Retail,Semarang
C001,PT Sinar Jaya,INV20210520115,B005,Monitor Samsung,5/20/2021,N7,18,Unit,867894,15622092,Grosir,Jakarta
C003,UD Sentosa,INV20210522774,B001,Laptop Lenovo,5/22/2021,N7,3,Unit,1458781,4376343,Distributor,Surabaya
C004,PT Makmur Bersama,INV20210523312,B005,Monitor Samsung,5/23/2021,N7,14,Unit,1770282,24783948,Grosir,Medan
C004,PT Makmur Bersama,INV20210523763,B002,Printer Epson,5/23/2021,N15,3,Unit,1540052,4620156,Grosir,Medan
C001,PT Sinar Jaya,INV20210524415,B004,Keyboard Mechanical,5/24/2021,N7,5,Pcs,1210764,6053820,Retail,Jakarta
C002,CV Maju Terus,INV20210524738,B005,Monitor Samsung,5/24/2021,N15,20,Pcs,359830,7196600,Retail,Bandung
C002,CV Maju Terus,INV20210524389,B001,Laptop Lenovo,5/24/2021,N7,13,Pcs,1620232,21063016,Retail,Bandung
C002,CV Maju Terus,INV20210525445,B001,Laptop Lenovo,5/25/2021,N15,16,Unit,1355144,21682304,Distributor,Bandung
C005,CV Berkah Abadi,INV20210525542,B001,Laptop Lenovo,5/25/2021,N7,17,Unit,858859,14600603,Distributor,Semarang
C001,PT Sinar Jaya,INV20210526506,B002,Printer Epson,5/26/2021,N7,18,Pcs,1341571,24148278,Grosir,Jakarta
C004,PT Makmur Bersama,INV20210526842,B004,Keyboard Mechanical,5/26/2021,N15,7,Unit,1866794,13067558,Retail,Medan
C002,CV Maju Terus,INV20210526720,B001,Laptop Lenovo,5/26/2021,N15,4,Unit,389061,1556244,Retail,Bandung
C005,CV Berkah Abadi,INV20210527559,B005,Monitor Samsung,5/27/2021,N30,14,Unit,1888505,26439070,Retail,Semarang
C005,CV Berkah Abadi,INV20210528923,B002,Printer Epson,5/28/2021,N15,14,Pcs,599874,8398236,Distributor,Semarang
C002,CV Maju Terus,INV20210528542,B004,Keyboard Mechanical,5/28/2021,N15,20,Unit,918610,18372200,Retail,Bandung
C005,CV Berkah Abadi,INV20210528491,B005,Monitor Samsung,5/28/2021,N30,12,Unit,336549,4038588,Grosir,Semarang
C004,PT Makmur Bersama,INV20210529307,B004,Keyboard Mechanical,5/29/2021,N30,13,Unit,396161,5150093,Retail,Medan
C005,CV Berkah Abadi,INV20210530339,B003,Mouse Logitech,5/30/2021,N30,7,Pcs,1857277,13000939,Grosir,Semarang
C005,CV Berkah Abadi,INV20210531437,B005,Monitor Samsung,5/31/2021,N30,5,Unit,584261,2921305,Retail,Semarang
C001,PT Sinar Jaya,INV20210531948,B002,Printer Epson,5/31/2021,N15,2,Unit,700483,1400966,Distributor,Jakarta
C003,UD Sentosa,INV20210601371,B001,Laptop Lenovo,6/1/2021,N30,17,Unit,1936200,32915400,Retail,Surabaya
C003,UD Sentosa,INV20210602651,B005,Monitor Samsung,6/2/2021,N30,5,Pcs,193519,967595,Grosir,Surabaya
C005,CV Berkah Abadi,INV20210602705,B004,Keyboard Mechanical,6/2/2021,N30,3,Pcs,1226643,3679929,Distributor,Semarang
C005,CV Berkah Abadi,INV20210602395,B001,Laptop Lenovo,6/2/2021,N7,1,Unit,1909011,1909011,Grosir,Semarang
C005,CV Berkah Abadi,INV20210604609,B005,Monitor Samsung,6/4/2021,N15,15,Unit,415191,6227865,Retail,Semarang
C003,UD Sentosa,INV20210605188,B004,Keyboard Mechanical,6/5/2021,N15,14,Pcs,1644281,23019934,Retail,Surabaya
C001,PT Sinar Jaya,INV20210606179,B004,Keyboard Mechanical,6/6/2021,N15,11,Pcs,822007,9042077,Distributor,Jakarta
C001,PT Sinar Jaya,INV20210606893,B005,Monitor Samsung,6/6/2021,N7,12,Pcs,131230,1574760,Distributor,Jakarta
C001,PT Sinar Jaya,INV20210606323,B001,Laptop Lenovo,6/6/2021,N30,2,Pcs,504680,1009360,Grosir,Jakarta
C005,CV Berkah Abadi,INV20210606968,B003,Mouse Logitech,6/6/2021,N7,12,Unit,1954956,23459472,Retail,Semarang
C005,CV Berkah Abadi,INV20210607265,B002,Printer Epson,6/7/2021,N7,1,Unit,531226,531226,Distributor,Semarang
C005,CV Berkah Abadi,INV20210607295,B004,Keyboard Mechanical,6/7/2021,N15,12,Pcs,1625229,19502748,Distributor,Semarang
C002,CV Maju Terus,INV20210607841,B004,Keyboard Mechanical,6/7/2021,N30,10,Unit,1834268,18342680,Retail,Bandung
C002,CV Maju Terus,INV20210608563,B003,Mouse Logitech,6/8/2021,N15,3,Unit,322387,967161,Grosir,Bandung
C003,UD Sentosa,INV20210608688,B002,Printer Epson,6/8/2021,N30,6,Pcs,1690335,10142010,Grosir,Surabaya
C001,PT Sinar Jaya,INV20210608620,B004,Keyboard Mechanical,6/8/2021,N7,7,Unit,1235829,8650803,Distributor,Jakarta
C005,CV Berkah Abadi,INV20210609740,B002,Printer Epson,6/9/2021,N30,1,Pcs,1612366,1612366,Grosir,Semarang
C001,PT Sinar Jaya,INV20210609529,B002,Printer Epson,6/9/2021,N30,16,Unit,114976,1839616,Retail,Jakarta
C004,PT Makmur Bersama,INV20210609996,B002,Printer Epson,6/9/2021,N30,1,Unit,307225,307225,Distributor,Medan
C002,CV Maju Terus,INV20210610823,B005,Monitor Samsung,6/10/2021,N15,1,Unit,1784569,1784569,Grosir,Bandung
